types_version;n_pollen;occurrences;plant_habitus;pollen_habitus;familly;Pollen_types_accepted;R_labels;E068;E069;E070;E071;E073;E074;W_386;W_385;W_388 ;Lac_Abhe;Awash;Melka_kontoure;Eth_HADAR01;Eth_HADAR02;Eth_HADAR03;Eth_HADAR04;Eth_HADAR05;Eth_HADAR06;Eth_HADAR07;E241;E242;E243;E244;E245;E246;E247;E248;E249;E250;E251;E252;E253;E254;E255;AML81-LS;AML81-LZ;AML81S33 ;AML81S36;AML81-VR;S136_3;S136_4;S136_5;S137_6;S257_4;E047;E048;E049;E050;E051;E052;E053;E054;E055;E003;E004;E005;E006;E007;E008;E009;E010;E011;E012;E013;E014;E015;E016;E017;E018;E019;E020;E021;E022;E023;E024;E025;E026;E268;E269;E270;E271;E272;E273;E274;E275;E276;E277;E278;E279;E280;E281;E282;E283;Omo_CR100_8;DW_16;DW_4;DW_1;DW_10;DW_14;DW_15;DW_18;DW_2;DW_2bis;DW_3;DW_5;DW_6;DW_7;DW_8;NG_1;NG_2;NG_3;NG_5;NG_6;NG_7;NG_8;NG_9;RB_1;RB_10;RB_11;RB_2;RB_4;RB_676;RB_7;DW_13;Awash_350;Awash_352;Awash_547_bis;Awash_574;Awash_575;Awash_582;Awash_A_Sued;Awash_A_Stat;Awash_C_L;Awash_G_604;Awash_G_80;Awash_Gba;Awash_Gomb;Awash_H_742;Awash_H_C74;Awash_H_C80;Awash_H_S4;Awash_H_V1;Awash_Hgf;Awash_K_80;Awash_L_A549;Awash_M_S;Awash_MK_G1;Awash_MK_G2;Awash_T_H;Awash_Tj;BB17-01;BB17-02;BB17-03;BB17-04;BB17-05;BB17-06;BB17-07;BB17-08;BB17-09;BB17-10;BB17-11;BB17-12;BB17-13;BB17-14;BB17-15;BB17-16;BB17-17;BB17-18;BB17-19;BB17-20;BB17-21;BB17-23;BB17-24;BB17-25;BB17-26;BB17-27;BB17-28;BB17-29;BB17-30;BB17-31;BB17-32;BB17-33;BB17-34;BB17-35;BB17-36;BB17-37;BB17-38;BB17-39;BB17-40;BB17-41;DB09-5;DB09-12;DB09-13;DB09-16;DB09-21;DB09-30;DB09-31;DB09-32;DB09-35;DB09-38;DB09-39;DB09-41;DB09-47;DB09-50;DB09-1;DB09-2;DB09-4;DB09-6;DB09-15;DB09-17;DB09-48;DB09-49;E200;E201;E202;E203;E204;E205;E206;E207;E208;E209;E213;E214;E228;E227;E229;E230;E231;E215;E223;E212;E217;E210;E224;E222;E226;E221;E232;E211;E233;E216;E220;E235;E219;E218;E234;E095;E094;E093;E085;Y96-40;Y96-03;Y96-08;Y96-138;Y96-139;Y96-140;RaK-01;RaK-02;RaK-03;RaK-04;Rak-08;RaK-05;RaK-07;RaK-06;FB_K3Sa;M_7a;M_104a;DB11-74;DB11-73;DB11-72;DB11-71;DB11-70;DB11-69;DB11-62;DB11-61;DB11-59B;DB11-59A;DB11-58;DB11-57;DB11-56;DB11-55;DB11-54
old;123;44;H;N;AMARANTHACEAE;Celosia-type trigyna;Celosia_trigyna;;;;;;;;;;;;;;;2;;4;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;2;;;;;;;;1;;;;;;;;;;;1;;;;;;;2;;;;2;;;1;;;3;;1;;;1;;;;;;;;;1;3;;;3;5;;;;;;;;4;2;;;;;;;;;;;;;;;;;1;;;1;;4;3;;;;;;;9;17;5;1;;2;;;;;2;1;;;;;;;;;;;;;1;;;1;;;;;12;;3;;;3;;;1;;3;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
old;329;59;H;N;AMARANTHACEAE;Cyathula-type orthacantha;Cyathula_orthacantha;;;;;;;;;;;;;11;;;8;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;;;2;;;;1;;2;;;;1;;2;;;;;1;;;;;;;;2;;;;;;;;;;2;;;;;1;;1;;;;1;3;;1;1;;;3;;1;2;;;3;;;;1;;;;2;;5;;;;;;;2;;;;;;;;;;;;;;;1;;;;;;;;;;;;4;;;4;;;;;36;18;51;1;11;1;5;;;;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;2;;10;1;;15;;4;3;;;;;;;;;;;;;;;;;;;;;;;10;;;11;16;25;5;;5;;5;1;;8;5
old;991;43;H;N;AMARANTHACEAE;Digera-type muricata;Digera_muricata;;;;;;;;;;;;;1;1;181;1;197;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;9;;4;1;;3;2;;;;1;;10;;;;;2;;;1;;;;;;;;;;;;;;3;;;1;;;;;;;;;;;;1;;;;;;1;;;1;;;;;;;5;;;;4;;;;;;2;;;3;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;1;8;;;2;21;;;7;4;9;377;55;46;;;;;1;;;;;;;;;;;;;;2;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;3;;;;;;;;;
old;78;10;H;N;AMARANTHACEAE;Psilotrichum-type elliottii;Psilotrichum_elliottii;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;3;19;1;;;;5;;;;;13;;;;;;;;;;;;;;;;;;;;;11;5;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
old;71;23;H(L);N;AMARANTHACEAE;Pupalia-type lappacea;Pupalia_lappacea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;4;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1;;2;1;;;;1;;;1;;1;;;;;;;;;1;;;;;;;;;;6;4;;;;;;1;;;;;;;;;;;;;;;;2;;8;;;;;9;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;89;9;L;L;AMARANTHACEAE;Sericostachys-type scandens;Sericostachys_scandens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;1;;;;;;;;;1;1;7;;3;6;;2;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;1;1;H;N;AMARANTHACEAE;Volkensinia prostrata;Volkensinia_prostrata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;2619;156;H(STL);I;AMARANTHACEAE/CHENOPODIACEAE/CARYOPHYLLACEAE;Amaranthaceae/Chenopodiaceae/Caryophyllaceae  undiff.;Amar/Cheno/Caryo;;;1;;2;;5;14;10;8;99;1;;;5;;;;14;;;;2;;3;1;2;2;1;3;;;3;;3;4;;;42;;2;;;8;2;;4;;;1;2;4;1;8;1;10;13;8;3;8;3;8;1;;3;;;;1;;2;4;1;;;;4;;;;;;;;;;;;;;;;4;72;;;1;;;;;;1;;;;;;2;3;;;2;1;1;1;;2;;;;;1;1;9;;;;13;15;7;;;;5;5;3;;13;3;;;8;24;8;;4;2;;;4;13;6;25;6;23;21;3;8;11;;9;9;12;14;16;9;3;32;;5;13;14;14;5;36;;15;12;7;5;9;5;;8;20;2;;2;;;;;;;;;;;;;;;;4;2;3;1;;1;1;2;1;;1;;1;;;;;1;2;2;;1;;;;;14;2;6;2;1;3;;;;;;;;;;;;1;1;28;4;29;54;35;49;142;87;500;4;;1;;23;12;18;289;201;90;6;3;13;10;10;10;2;1;4;;;1;;6;
old;1;1;ST(L);A;ANACARDIACEAE;Anacardiaceae undiff.;Anacardiaceae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;54;32;ST;A;ANACARDIACEAE;Lannea-type;Lannea;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;1;1;;1;;1;;;;3;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;7;;;2;;;2;;;;;;;;;;;;;;;;;;;1;1;1;1;2;2;1;2;4;2;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;2;;;;1;1;;2;1;;;;;;
old;3;3;ST;A;ANACARDIACEAE;Ozoroa-type insignis;Ozoroa_insignis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;7;4;ST;A;ANACARDIACEAE;Pistacia;Pistacia;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;358;87;ST;A;ANACARDIACEAE;Rhus-type vulgaris;Rhus_vulgaris;;;;;;;;3;;;5;4;;;;;;;;;;;;;;;;;;;;;;;1;2;79;7;2;;;;;;;;;;;;;;;7;;1;2;;;;;;;;;;;;;;;1;;;;;;12;32;;4;;;;;;;;13;;1;;10;1;3;2;6;4;2;;1;1;1;2;1;;;1;1;1;3;;1;;4;1;1;4;2;1;;1;;1;1;1;5;1;;1;3;4;;7;3;1;1;5;2;;;;2;1;;7;1;;2;2;6;;;1;;;;;;;;;;;1;;;2;;;;;;;;;;;;;;1;5;;;;;;;;;2;2;;;1;3;2;9;;;;;5;;;;6;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;3;2;1;;;2;6;;3;;;;;;;;;;;;;;;;;;;1;4;;;3;;;;;;;;;
old;1;1;T;A;ANACARDIACEAE;Sorindeia-type madagascariensis;Sorindeia_madagascariensis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
old;4;2;ST;A;ANNONACEAE;Annona-type senegalensis;Annona_senegalensis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;455;66;H(ST);I;APIACEAE;Apiaceae undiff.;Apiaceae;;;2;1;1;;15;1;2;1;13;2;;1;;;1;;;15;1;;128;;43;29;9;;5;6;3;3;2;2;;1;1;3;;1;1;5;;;1;;4;;6;2;;2;1;;;;;;;;;;;;;;;;;;;;;2;;;;;;2;;2;1;;;;1;;1;;1;;;;;1;;;;;;2;;;;;1;;1;;;;;;;1;;3;;;;;;;1;;1;;;2;;;;;;;;;;;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;2;;;;;;;;;;;;12;1;10;1;78;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;3;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
old;7;5;HS;I;APIACEAE;Diplolophium-type;Diplolophium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;43;17;Ha;Nq;APIACEAE;Hydrocotyle mannii-type;Hydrocotyle_mannii;;;1;;;;;;;;;;;;;;;;;;;;2;;2;;4;;2;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;1;;5;;12;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
old;23;6;HST;I;APIACEAE;Steganotaenia-type araliacea;Steganotaenia_araliacea;;;;;;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;5;3;ST;A;APOCYNACEAE;Acokanthera-type schimperi;Acokanthera_schimperi;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;2;2;ST;A;APOCYNACEAE;Adenium-type obesum;Adenium_obesum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;6;5;T;A;APOCYNACEAE;Alstonia-type boonei;Alstonia_boonei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;4;3;STL(H);I;APOCYNACEAE;Apocynaceae undiff.;Apocynaceae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;12;6;ST;A;APOCYNACEAE;Carissa edulis-type;Carissa_edulis;;;1;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;2;1;ST(L);AL;APOCYNACEAE;Hunteria-type;Hunteria;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;8;3;SL;AL;APOCYNACEAE;Oncinotis-type nitida;Oncinotis_nitida;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;49;4;ST;A;APOCYNACEAE;Rauvolfia;Rauvolfia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;22;24;;;;;;1;;;
old;5;3;S;A;APOCYNACEAE;Strophanthus-type mirabilis;Strophanthus_mirabilis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;204;54;T(S);A;AQUIFOLIACEAE;Ilex mitis;Ilex_mitis;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;5;;;20;1;1;5;1;3;8;;8;3;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;10;;;;5;;1;1;2;1;;;1;1;3;1;;2;1;;3;;1;;;;;;;1;1;;1;;1;;1;1;;;;;;;;;;1;1;;1;;;1;;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;4;9;;;9;;;;;;1;;;;;;;;;;;;;;;;;;;;;3;2;;;1;5;2;18;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;34;20;ST;A;ARALIACEAE;Cussonia-type;Cussonia;;3;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;3;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;3;;3;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;1;6;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;
old;325;46;T;A;ARALIACEAE;Polyscias fulva-type;Polyscias_fulva;;;3;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;4;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;7;;1;;;2;;;1;;;;1;4;1;4;;;;;;;1;;;;1;;;;;;;;;;;2;;2;4;2;1;5;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;4;;;;;;;;4;;;;3;2;113;;10;;;;1;;1;3;2;7;1;;;;;;;;;;;;;;;;;2;2;5;3;;4;1;7;3;77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;170;38;T(ep);A;ARALIACEAE;Schefflera abyssinica-type;Schefflera_abyssinica;;;1;;;1;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;4;;;;7;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;7;;1;1;35;;1;1;;1;;;;1;;;1;;;;;;;;;;;;;;2;2;2;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;4;;1;1;;3;2;8;1;;;;;;;;;;;;;;;;;;;6;;9;2;22;3;7;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;54;9;STL(ep);AL;ARALIACEAE;Schefflera myriantha-type;Schefflera_myriantha;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;31;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;476;10;STL(ep);AL;ARALIACEAE;Schefflera volkensii-type;Schefflera_volkensii;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;159;10;254;12;3;2;;;;;;;;;;;;;;;;;;;;;;;;;1;13;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;1;1;L;L;ASCLEPIADACEAE;Tacazzea-type apiculata;Tacazzea_apiculata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
