order;used_for_T_value;plant_habit;pollen_habit;familly;Vincens_et_al_pollen_types;R_labels;KMl1;KMk;KMj;Kmi;KMh;KMg;KMf;Kme;KMd2b;KMd2a;KMc;KMb;KMa
182;yes;H;N;EUPHORBIACEAE;Phyllanthus-type boehmii;Phyllanthus_boehmii;;;;;;;;;;;;;
183;yes;ST;A;EUPHORBIACEAE;Phyllanthus-type engleri;Phyllanthus_engleri;;;;;;;;;;;;;
184;yes;H;N;EUPHORBIACEAE;Phyllanthus-type maderaspatensis;Phyllanthus_maderaspatensis;;;;;;;;;;;;;
185;yes;ST(L);AL;EUPHORBIACEAE;Phyllanthus-type muellerianus;Phyllanthus_muellerianus;;;;;;;;;;;;;
186;yes;ST;A;EUPHORBIACEAE;Phyllanthus-type reticulatus;Phyllanthus_reticulatus;;;;;;;;;;;;;
303;yes;HST(L);I;PHYTOLACCACEAE;Phytolacca;Phytolacca;;;;;;;;;;;;;
98;yes;T;A;CAESALPINIACEAE;Piliostigma;Piliostigma;;;;;;;;;;;;;
304;yes;T;A;PINACEAE;Pinus;Pinus;;;;;;;;;;;;;
305;no;HepSL;I;PIPERACEAE;Piperaceae undiff.;Piperaceae;;;;;;;;;;;;;
44;yes;ST;A;ANACARDIACEAE;Pistacia;Pistacia;;;;;;;;;;;;;
306;yes;ST;A;PITTOSPORACEAE;Pittosporum abyssinicum-type;Pittosporum_abyssinicum;;;;;;;;;;;;;
307;yes;H;N;PLANTAGINACEAE;Plantago;Plantago;0;0;0;0;0;0;0;0;1;0;0;0;0
348;yes;HS;I;RUBIACEAE;Pentas-type;Plantas;;;;;;;;;;;;;
241;yes;S(p);Ap;LORANTHACEAE;Plicosepalus-type sagittifolius;Plicosepalus_sagittifolius;;;;;;;;;;;;;
309;yes;H(T);N;POACEAE;Poaceae undiff.;Poaceae;682;352;502;608;392;296;188;535;270;227;856;90;253
310;yes;ST;A;PODOCARPACEAE;Podocarpus;Podocarpus;8;0;0;0;0;1;0;0;0;0;0;0;0
117;no;H;N;CARYOPHYLLACEAE;Polycarpaea-type;Polycarpaea;;;;;;;;;;;;;
312;yes;HS;I;POLYGALACEAE;Polygala-type;Polygala;;;;;;;;;;;;;
314;yes;H;N;POLYGONACEAE;Polygonum plebeium-type;Polygonum_plebeium;;;;;;;;;;;;;
315;yes;Ha;Nq;POLYGONACEAE;Polygonum senegalense-type;Polygonum_senegalense;0;0;0;2;1;0;0;0;1;1;0;11;4
64;yes;T;A;ARALIACEAE;Polyscias fulva-type;Polyscias_fulva;;;;;;;;;;;;;
317;yes;H(ST);I;PORTULACACEAE;Portulacaceae undiff.;Portulacaceae;;;;;;;;;;;;;
318;yes;Ha;Nq;POTAMOGETONACEAE;Potamogeton;Potamogeton;0;0;0;0;0;0;0;0;0;0;0;0;0
377;yes;ST;A;SAPOTACEAE;Pouteria-type;Pouteria;;;;;;;;;;;;;
320;yes;H(S);N;PRIMULACEAE;Primulaceae undiff.;Primulaceae;;;;;;;;;;;;;
266;no;X;X;MIMOSACEAE;Prosopis-type;Prosopis;;;;;;;;;;;;;
267;no;T;A;MIMOSACEAE;Prosopis-type africana;Prosopis_africana;;;;;;;;;;;;;
321;yes;ST;A;PROTEACEAE;Protea-type;Protea;;;;;;;;;;;;;
331;yes;T;A;ROSACEAE;Prunus africana-type;Prunus_africana;2;0;0;0;0;0;0;0;0;0;0;0;0
36;yes;H;N;AMARANTHACEAE;Psilotrichum-type elliottii;Psilotrichum_elliottii;;;;;;;;;;;;;
221;yes;ST;A;HYPERICACEAE;Psorospermum;Psorospermum;;;;;;;;;;;;;
349;no;S;A;RUBIACEAE;Psychotria amboniana-type;Psychotria_amboniana;;;;;;;;;;;;;
350;yes;STL;AL;RUBIACEAE;Psydrax-type schimperiana;Psydrax_schimperiana;;;;;;;;;;;;;
201;yes;T;A;FABACEAE;Pterocarpus-type lucens;Pterocarpus_lucens;;;;;;;;;;;;;
302;yes;H(S);I;PEDALIACEAE;Pterodiscus;Pterodiscus;;;;;;;;;;;;;
99;yes;SL;AL;CAESALPINIACEAE;Pterolobium stellatum;Pterolobium_stellatum;;;;;;;;;;;;;
37;yes;H(L);N;AMARANTHACEAE;Pupalia-type lappacea;Pupalia_lappacea;;;;;;;;;;;;;
325;yes;H(a);N;RANUNCULACEAE;Ranunculus-type;Ranunculus;;;;;;;;;;;;;
323;yes;Ha;Nq;RANUNCULACEAE;Ranunculus multifidus-type;Ranunculus_multifidus;;;;;;;;;;;;;
324;yes;Ha;Nq;RANUNCULACEAE;Ranunculus oreophytus-type;Ranunculus_oreophytus;;;;;;;;;;;;;
281;yes;T(S);A;MYRSINACEAE;Rapanea melanophloeos-type;Rapanea_melanophloeos;;;;;;;;;;;;;
59;yes;ST;A;APOCYNACEAE;Rauvolfia;Rauvolfia;;;;;;;;;;;;;
327;yes;H(S);I;RESEDACEAE;Resedaceae undiff.;Resedaceae;0;0;1;0;0;0;0;0;0;0;0;0;0
328;yes;STL;AL;RHAMNACEAE;Rhamnaceae undiff.;Rhamnaceae;;;;;;;;;;;;;
45;yes;ST;A;ANACARDIACEAE;Rhus-type vulgaris;Rhus_vulgaris;0;0;0;0;0;0;0;0;0;0;0;0;0
202;yes;H;NL;FABACEAE;Rhynchosia-type malacophylla;Rhynchosia_malacophylla;0;0;0;0;0;0;0;0;0;0;0;0;0
187;yes;H;NG;EUPHORBIACEAE;Ricinus communis;Ricinus_communis;;;;;;;;;;;;;
332;yes;SL;AL;ROSACEAE;Rosa abyssinica-type;Rosa_abyssinica;0;0;0;0;1;0;0;0;0;0;0;0;0
333;no;HSTL;I;ROSACEAE;Rosaceae undiff.;Rosaceae;;;;;;;;;;;;;
352;yes;H;N;RUBIACEAE;Rubia-type cordifolia;Rubia_cordifolia;0;0;0;0;0;0;0;0;0;0;0;0;0
351;yes;HSTL;I;RUBIACEAE;Rubiaceae undiff.;Rubiaceae;0;0;0;0;0;0;0;0;0;0;0;0;0
334;yes;S(L);AL;ROSACEAE;Rubus pinnatus-type;Rubus_pinnatus;;;;;;;;;;;;;
18;yes;HS;I;ACANTHACEAE;Ruellia-type patula;Ruellia_patula;;;;;;;;;;;;;
316;yes;HS;I;POLYGONACEAE;Rumex;Rumex;0;0;0;0;1;0;1;0;0;0;0;0;0
357;no;Ha;Nq;RUPPIACEAE;Ruppia maritima;Ruppia_maritima;;;;;;;;;;;;;
360;yes;ST(HL);AL;RUTACEAE;Rutaceae undiff.;Rutaceae;;;;;;;;;;;;;
19;yes;S;A;ACANTHACEAE;Ruttya-type fruticosa;Ruttya_fruticosa;;;;;;;;;;;;;
363;yes;ST;A;SALICACEAE;Salix;Salix;;;;;;;;;;;;;
378;yes;ST;AL;SAPOTACEAE;Sapotaceae undiff.;Sapotaceae;0;1;0;0;0;0;0;0;0;0;0;0;0
158;yes;H;N;DIPSACACEAE;Scabiosa-type;Scabiosa;;;;;;;;;;;;;
65;yes;T(ep);A;ARALIACEAE;Schefflera abyssinica-type;Schefflera_abyssinica;;;;;;;;;;;;;
66;yes;STL(ep);AL;ARALIACEAE;Schefflera myriantha-type;Schefflera_myriantha;;;;;;;;;;;;;
67;yes;STL(ep);AL;ARALIACEAE;Schefflera volkensii-type;Schefflera_volkensii;;;;;;;;;;;;;
293;no;T(S);A;OLEACEAE;Schrebera alata-type;Schrebera_alata;;;;;;;;;;;;;
118;yes;X;X;CARYOPHYLLACEAE;Scleranthus-type orientalis;Scleranthus_orientalis;;;;;;;;;;;;;
382;no;HS(T);I;SCROPHULARIACEAE;Scrophulariaceae undiff.;Scrophulariaceae;;;;;;;;;;;;;
212;yes;H;N;GENTIANACEAE;Sebaea brachyphylla-type;Sebaea_brachyphylla;;;;;;;;;;;;;
38;yes;L;L;AMARANTHACEAE;Sericostachys-type scandens;Sericostachys_scandens;;;;;;;;;;;;;
203;yes;STa;A;FABACEAE;Sesbania sesban;Sesbania_sesban;;;;;;;;;;;;;
188;yes;ST;A;EUPHORBIACEAE;Shirakia-type elliptica;Shirakia_elliptica;;;;;;;;;;;;;
250;yes;H(S);I;MALVACEAE;Sida;Sida;;;;;;;;;;;;;
379;yes;ST;A;SAPOTACEAE;Sideroxylon-type oxyacantha;Sideroxylon_oxyacantha;0;0;0;0;0;0;0;0;0;0;0;0;0
119;no;H;N;CARYOPHYLLACEAE;Silene-type;Silene;1;0;0;0;0;0;0;0;0;0;0;0;0
386;yes;HST;I;SOLANACEAE;Solanum-type;Solanum;0;0;0;1;0;0;0;0;0;0;0;0;0
46;yes;T;A;ANACARDIACEAE;Sorindeia-type madagascariensis;Sorindeia_madagascariensis;;;;;;;;;;;;;
353;yes;H;N;RUBIACEAE;Spermacoce-type;Spermacoce;;;;;;;;;;;;;
311;yes;Ha;Nq;PODOSTEMACEAE;Sphaerotylax abyssinica-type;Sphaerotylax_abyssinica;;;;;;;;;;;;;
51;yes;HST;I;APIACEAE;Steganotaenia-type araliacea;Steganotaenia_araliacea;;;;;;;;;;;;;
120;yes;H(L);N;CARYOPHYLLACEAE;Stellaria mannii-type;Stellaria_mannii;;;;;;;;;;;;;
259;yes;HL;NL;MENISPERMACEAE;Stephania-type abyssinica;Stephania_abyssinica;;;;;;;;;;;;;
390;yes;T;A;STERCULIACEAE;Sterculia-type;Sterculia;;;;;;;;;;;;;
389;no;ST(HL);I;STERCULIACEAE;Sterculiaceae undiff.;Sterculiaceae;;;;;;;;;;;;;
383;yes;H(p);N;SCROPHULARIACEAE;Striga-type hermonthica;Striga_hermonthica;;;;;;;;;;;;;
60;yes;S;A;APOCYNACEAE;Strophanthus-type mirabilis;Strophanthus_mirabilis;;;;;;;;;;;;;
129;yes;S;A;CHENOPODIACEAE;Suaeda monoica-type;Suaeda_monoica;;;;;;;;;;;;;
214;yes;H;N;GENTIANACEAE;Swertia-type kilimandscharica;Swertia_kilimandscharica;;;;;;;;;;;;;
213;yes;H;N;GENTIANACEAE;Swertia usambarensis-type;Swertia_usambarensis;;;;;;;;;;;;;
68;yes;L;L;ASCLEPIADACEAE;Tacazzea-type apiculata;Tacazzea_apiculata;0;0;0;0;0;1;0;0;0;0;0;0;0
391;yes;ST;A;TAMARICACEAE;Tamarix;Tamarix;0;0;0;0;1;0;0;0;0;0;0;0;0
242;yes;S(p);Ap;LORANTHACEAE;Tapinanthus-type globiferus;Tapinanthus_globiferus;;;;;;;;;;;;;
157;yes;ST;A;DICHAPETALACEAE;Tapura fischeri-type;Tapura_fischeri;;;;;;;;;;;;;
354;yes;ST;A;RUBIACEAE;Tarenna-type graveolens;Tarenna_graveolens;;;;;;;;;;;;;
361;yes;ST;A;RUTACEAE;Teclea-type;Teclea;2;0;0;0;0;0;0;0;0;0;0;0;0
204;yes;HS;I;FABACEAE;Tephrosia;Tephrosia;;;;;;;;;;;;;
189;yes;STL;A;EUPHORBIACEAE;Tetrorchidium didymostemon-type;Tetrorchidium_didymostemon;;;;;;;;;;;;;
326;yes;H;N;RANUNCULACEAE;Thalictrum;Thalictrum;;;;;;;;;;;;;
394;no;H;N;THYMELAEACEAE;Thymelaea;Thymelaea;1;0;0;0;0;0;0;0;0;0;0;0;0
398;yes;ST(HL);I;TILIACEAE;Tiliaceae undiff.;Tiliaceae;;;;;;;;;;;;;
260;yes;L;L;MENISPERMACEAE;Tiliacora-type funifera;Tiliacora_funifera;;;;;;;;;;;;;
402;yes;S(T);A;ULMACEAE;Trema-type orientalis;Trema_orientalis;;;;;;;;;;;;;
416;yes;H;N;ZYGOPHYLLACEAE;Tribulus;Tribulus;0;0;0;0;0;0;0;1;0;0;0;0;1
255;yes;T;A;MELIACEAE;Trichilia-type emetica;Trichilia_emetica;;;;;;;;;;;;;
217.2;yes;ST;A;HAMAMELIDACEAE;Trichocladus ellipticus-type;Trichocladus_ellipticus;;;;;;;;;;;;;
205;yes;H;N;FABACEAE;Trifolium-type acaule;Trifolium_acaule;;;;;;;;;;;;;
273;yes;T;A;MORACEAE;Trilepisium-type madagascariensis;Trilepisium_madagascariensis;0;0;0;0;0;0;0;0;0;0;0;0;0
73;yes;HS(TL);I;ASTERACEAE;Tubuliflorae;Tubuliflorae;8;13;32;12;2;18;5;3;2;5;22;0;3
399;yes;Ha;Nq;TYPHACEAE;Typha;Typha;1;8;62;296;133;33;152;40;224;407;22;110;427
121;yes;H;N;CARYOPHYLLACEAE;Uebelinia-type abyssinica;Uebelinia_abyssinica;;;;;;;;;;;;;
355;yes;L;L;RUBIACEAE;Uncaria-type africana;Uncaria_africana;;;;;;;;;;;;;
403;yes;H;N;URTICACEAE;Urticaceae D-type;Urticaceae_D;;;;;;;;;;;;;
404;yes;H;N;URTICACEAE;Urticaceae P-type;Urticaceae_P;;;;;;;;;;;;;
405;yes;L;L;URTICACEAE;Urticaceae Q-type;Urticaceae_Q;13;4;0;0;0;1;0;0;1;0;0;0;1
406;yes;HSL;I;URTICACEAE;Urticaceae T-type;Urticaceae_T;;;;;;;;;;;;;
407;yes;H;N;VAHLIACEAE;Vahlia somalensis-type;Vahlia_somalensis;;;;;;;;;;;;;
356;yes;ST;A;RUBIACEAE;Vangueria-type madagascariensis;Vangueria_madagascariensis;;;;;;;;;;;;;
206;yes;L;L;FABACEAE;Vatovaea-type pseudolablab;Vatovaea_pseudolablab;;;;;;;;;;;;;
410.1;no;HSTL;I;VERBENACEAE;Verbenaceae undiff.;Verbenaceae;;;;;;;;;;;;;
207;yes;HL;NL;FABACEAE;Vicia;Vicia;;;;;;;;;;;;;
413;yes;HSL;I;VITACEAE;Vitaceae undiff.;Vitaceae;;;;;;;;;;;;;
410.2;no;ST(L);AL;VERBENACEAE;Vitex-type;Vitex;;;;;;;;;;;;;
39;yes;H;N;AMARANTHACEAE;Volkensinia prostrata;Volkensinia_prostrata;;;;;;;;;;;;;
102;yes;X;X;CANELLACEAE;Warburgia-type;Warburgia;;;;;;;;;;;;;
286;yes;ST(p);A;OLACACEAE;Ximenia;Ximenia;;;;;;;;;;;;;
374;yes;T;A;SAPINDACEAE;Zanha golungensis-type;Zanha_golungensis;;;;;;;;;;;;;
362;yes;ST(L);AL;RUTACEAE;Zanthoxylum/Fagaropsis;Zanthoxylum/Fagaropsis;0;0;0;0;0;0;0;0;0;0;0;0;0
417;yes;HS;I;ZYGOPHYLLACEAE;Zygophyllaceae undiff.;Zygophyllaceae;;;;;;;;;;;;;
418;yes;H;N;ZYGOPHYLLACEAE;Zygophyllum simplex-type;Zygophyllum_simplex;;;;;;;;;;;;;
