order;used_for_T_value;plant_habit;pollen_habit;familly;Vincens_et_al_pollen_types;R_labels;KMl1;KMk;KMj;Kmi;KMh;KMg;KMf;Kme;KMd2b;KMd2a;KMc;KMb;KMa
173;yes;ST(HL);I;EUPHORBIACEAE;Croton-type;Croton;4;1;0;0;0;0;0;0;0;0;0;0;0
95;no;T;A;CAESALPINIACEAE;Crudia-type;Crudia;;;;;;;;;;;;;
151;yes;H(L);NL;CUCURBITACEAE;Cucumis dipsaceus-type;Cucumis_dipsaceus;;;;;;;;;;;;;
152;yes;H(L);NL;CUCURBITACEAE;Cucurbitaceae undiff.;Cucurbitaceae;0;0;0;0;0;0;0;0;5;0;0;0;0
154.2;yes;ST;A;CUPRESSACEAE;Cupressaceae undiff.;Cupressaceae;;;;;;;;;;;;;
63;yes;ST;A;ARALIACEAE;Cussonia-type;Cussonia;;;;;;;;;;;;;
34;yes;H;N;AMARANTHACEAE;Cyathula-type orthacantha;Cyathula_orthacantha;;;;;;;;;;;;;
84;no;H;N;BORAGINACEAE;Cynoglossum-type;Cynoglossum;;;;;;;;;;;;;
156;yes;H(L);NL;CYPERACEAE;Cyperaceae undiff.;Cyperaceae;25;57;104;142;34;125;136;60;162;384;276;423;586
412;yes;H(SL);I;VITACEAE;Cyphostemma-type;Cyphostemma;;;;;;;;;;;;;
368;yes;T;A;SAPINDACEAE;Deinbollia-type kilimandscharica;Deinbollia_kilimandscharica;;;;;;;;;;;;;
96.1;yes;T;A;CAESALPINIACEAE;Delonix elata-type;Delonix_elata;;;;;;;;;;;;;
194;yes;HS;I;FABACEAE;Desmodium repandum-type;Desmodium_repandum;;;;;;;;;;;;;
263;yes;ST;A;MIMOSACEAE;Dichrostachys cinerea-type;Dichrostachys_cinerea;0;0;0;0;1;0;0;0;0;0;0;0;0
392;yes;ST;A;THYMELAEACEAE;Dicranolepis-type;Dicranolepis;;;;;;;;;;;;;
35;yes;H;N;AMARANTHACEAE;Digera-type muricata;Digera_muricata;;;;;;;;;;;;;
161;yes;ST;A;EBENACEAE;Diospyros;Diospyros;;;;;;;;;;;;;
49.2;yes;HS;I;APIACEAE;Diplolophium-type;Diplolophium;;;;;;;;;;;;;
369;yes;ST;A;SAPINDACEAE;Dodonaea viscosa-type;Dodonaea_viscosa;0;0;2;1;0;1;0;0;0;0;1;0;0
387;yes;ST;A;STERCULIACEAE;Dombeya-type;Dombeya;1;0;0;0;0;0;0;0;0;0;0;0;0
269;yes;HS(ep);A;MORACEAE;Dorstenia-type;Dorstenia;;;;;;;;;;;;;
159;yes;S(T);A;DRACAENACEAE;Dracaena;Dracaena;;;;;;;;;;;;;
160;yes;H;N;DROSERACEAE;Drosera;Drosera;;;;;;;;;;;;;
115;yes;H;N;CARYOPHYLLACEAE;Drymaria cordata-type;Drymaria_cordata;;;;;;;;;;;;;
5;yes;S(L);AL;ACANTHACEAE;Duosperma;Duosperma;;;;;;;;;;;;;
6;yes;H(S);I;ACANTHACEAE;Dyschoriste-type radicans;Dyschoriste_radicans;;;;;;;;;;;;;
162;yes;ST;A;EBENACEAE;Ebenaceae undiff.;Ebenaceae;;;;;;;;;;;;;
85;yes;H;N;BORAGINACEAE;Echium-type;Echium;;;;;;;;;;;;;
86;yes;ST;A;BORAGINACEAE;Ehretia cymosa-type;Ehretia_cymosa;;;;;;;;;;;;;
253;yes;T;A;MELIACEAE;Ekebergia-type capensis;Ekebergia_capensis;0;0;0;0;0;0;0;0;0;0;1;0;0
277;yes;STL;AL;MYRSINACEAE;Embelia-type;Embelia;;;;;;;;;;;;;
210;yes;H;N;GENTIANACEAE;Enicostema;Enicostema;;;;;;;;;;;;;
264;yes;STL;AL;MIMOSACEAE;Entada-type;Entada;;;;;;;;;;;;;
164;yes;SL;AL;EPHEDRACEAE;Ephedra;Ephedra;;;;;;;;;;;;;
165;yes;ST;A;ERICACEAE;Ericaceae undiff.;Ericaceae;3;0;0;0;0;0;0;0;0;0;0;0;0
195;yes;ST;A;FABACEAE;Erythrina abyssinica-type;Erythrina_abyssinica;;;;;;;;;;;;;
174;yes;ST;A;EUPHORBIACEAE;Erythrococca-type;Erythrococca;;;;;;;;;;;;;
282;yes;ST;A;MYRTACEAE;Eucalyptus-type;Eucalyptus;;;;;;;;;;;;;
163.1;yes;ST;A;EBENACEAE;Euclea;Euclea;0;0;1;0;0;0;0;0;0;0;0;0;0
283;yes;ST;A;MYRTACEAE;Eugenia/Syzygium;Eugenia/Syzygium;0;0;0;0;0;0;0;0;0;0;0;0;0
177;yes;H;N;EUPHORBIACEAE;Euphorbia-type indica;Euphorbia_indica;;;;;;;;;;;;;
175;yes;ST;A;EUPHORBIACEAE;Euphorbia tirucalli-type ;Euphorbia_tirucalli;;;;;;;;;;;;;
176;yes;HST(L);I;EUPHORBIACEAE;Euphorbiaceae undiff.;Euphorbiaceae;1;0;1;0;0;0;0;0;0;0;0;0;0
147;yes;H;N;CONVOLVULACEAE;Evolvulus-type;Evolvulus;;;;;;;;;;;;;
196;yes;HSTL;I;FABACEAE;Fabaceae undiff.;Fabaceae;0;0;0;0;0;0;0;0;0;0;0;0;0
